accepted_name_resolved;key;scientificName;acceptedScientificName;taxonRank;kingdom;phylum;class;order;family;genus;species;countryCode;stateProvince;decimalLatitude;decimalLongitude;eventDate;year;basisOfRecord;institutionCode;collectionCode;datasetName;issues;datasetKey;publishingOrgKey;installationKey;hostingOrganizationKey;publishingCountry;protocol;lastCrawled;lastParsed;crawlId;occurrenceStatus;taxonKey;kingdomKey;phylumKey;classKey;orderKey;familyKey;genusKey;speciesKey;acceptedTaxonKey;genericName;specificEpithet;taxonomicStatus;dateIdentified;coordinateUncertaintyInMeters;continent;month;day;startDayOfYear;endDayOfYear;modified;lastInterpreted;references;license;isSequenced;identifier;facts;relations;isInCluster;recordedBy;identifiedBy;geodeticDatum;recordedByIDs;identifiedByIDs;gbifRegion;country;publishedByGbifRegion;rightsHolder;identifier.1;http...unknown.org.nick;verbatimEventDate;verbatimLocality;gbifID;occurrenceID;taxonID;http...unknown.org.captive_cultivated;catalogNumber;eventTime;identificationID;name;recordedByIDs.type;recordedByIDs.value;identifiedByIDs.type;identifiedByIDs.value;distanceFromCentroidInMeters;projectId;infraspecificEpithet;occurrenceRemarks;dynamicProperties
Amanita muscaria;5838331187;Amanita muscaria (L.) Lam.;Amanita muscaria (L.) Lam.;SPECIES;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita;Amanita muscaria;BE;Vlaanderen;51,357277;5,021286;2025-09-25T13:28:16;2025;HUMAN_OBSERVATION;iNaturalist;Observations;iNaturalist research-grade observations;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;28eb1a3f-1c15-4a95-931a-4af90ecb574d;997448a8-f762-11e1-a439-00145eb45e9a;28eb1a3f-1c15-4a95-931a-4af90ecb574d;US;DWC_ARCHIVE;2026-04-17T19:39:17.972+00:00;2026-04-18T10:18:00.624+00:00;589;PRESENT;8168319;5;34;186;1499;4171;6005964;8168319;8168319;Amanita;muscaria;ACCEPTED;2025-09-25T14:38:09;10;EUROPE;9;25;268;268;2025-10-04T18:09:42.000+00:00;2026-04-18T10:18:00.624+00:00;https://www.inaturalist.org/observations/316491647;http://creativecommons.org/licenses/by/4.0/legalcode;FALSE;316491647;none;none;FALSE;Freya Rinia;Freya Rinia;WGS84;none;none;EUROPE;Belgium;NORTH_AMERICA;Freya Rinia;316491647;freya64;2025-09-25 13:28:16;2380 Ravels, België;5838331187;https://www.inaturalist.org/observations/316491647;48715;wild;316491647;13:28:16+02:00;703134132;Amanita muscaria (L.) Lam.;NA;NA;NA;NA;NA;NA;NA;NA;NA
Amanita muscaria;5844077074;Amanita muscaria (L.) Lam.;Amanita muscaria (L.) Lam.;SPECIES;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita;Amanita muscaria;BE;Vlaanderen;51,033740;3,706925;2025-09-26T11:30:12;2025;HUMAN_OBSERVATION;iNaturalist;Observations;iNaturalist research-grade observations;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;28eb1a3f-1c15-4a95-931a-4af90ecb574d;997448a8-f762-11e1-a439-00145eb45e9a;28eb1a3f-1c15-4a95-931a-4af90ecb574d;US;DWC_ARCHIVE;2026-04-17T19:39:17.972+00:00;2026-04-18T09:53:57.570+00:00;589;PRESENT;8168319;5;34;186;1499;4171;6005964;8168319;8168319;Amanita;muscaria;ACCEPTED;2025-10-04T17:59:17;114;EUROPE;9;26;269;269;2025-11-18T21:59:46.000+00:00;2026-04-18T09:53:57.570+00:00;https://www.inaturalist.org/observations/316694310;http://creativecommons.org/licenses/by-nc/4.0/legalcode;FALSE;316694310;none;none;FALSE;Anaïs .Van Ertvelde;Vincent B.;WGS84;none;none;EUROPE;Belgium;NORTH_AMERICA;Anaïs .Van Ertvelde;316694310;anais53537;2025-09-26 11:30:12;Gent, 9000 Gent, België;5844077074;https://www.inaturalist.org/observations/316694310;48715;wild;316694310;11:30:12+02:00;707566679;Amanita muscaria (L.) Lam.;NA;NA;NA;NA;NA;NA;NA;NA;NA
Amanita muscaria;5839973156;Amanita muscaria (L.) Lam.;Amanita muscaria (L.) Lam.;SPECIES;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita;Amanita muscaria;BE;Vlaanderen;51,080056;3,342344;2025-10-05T14:17:36;2025;HUMAN_OBSERVATION;iNaturalist;Observations;iNaturalist research-grade observations;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;28eb1a3f-1c15-4a95-931a-4af90ecb574d;997448a8-f762-11e1-a439-00145eb45e9a;28eb1a3f-1c15-4a95-931a-4af90ecb574d;US;DWC_ARCHIVE;2026-04-17T19:39:17.972+00:00;2026-04-18T08:08:53.032+00:00;589;PRESENT;8168319;5;34;186;1499;4171;6005964;8168319;8168319;Amanita;muscaria;ACCEPTED;2025-10-07T15:35:47;NA;EUROPE;10;5;278;278;2025-10-08T09:01:53.000+00:00;2026-04-18T08:08:53.032+00:00;https://www.inaturalist.org/observations/319379140;http://creativecommons.org/licenses/by/4.0/legalcode;FALSE;319379140;none;none;FALSE;Michiel de Groot;Michiel de Groot;WGS84;NA;NA;EUROPE;Belgium;NORTH_AMERICA;Michiel de Groot;319379140;michieldg;2025-10-05 14:17:36;Wingene, 8750 Wingene, Belgium;5839973156;https://www.inaturalist.org/observations/319379140;48715;wild;319379140;14:17:36+02:00;709017590;Amanita muscaria (L.) Lam.;ORCID;https://orcid.org/0000-0002-0406-1076;ORCID;https://orcid.org/0000-0002-0406-1076;NA;NA;NA;NA;NA
Amanita muscaria;5840326956;Amanita muscaria (L.) Lam.;Amanita muscaria (L.) Lam.;SPECIES;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita;Amanita muscaria;BE;Vlaanderen;51,003830;3,663921;2025-10-07;2025;HUMAN_OBSERVATION;iNaturalist;Observations;iNaturalist research-grade observations;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;28eb1a3f-1c15-4a95-931a-4af90ecb574d;997448a8-f762-11e1-a439-00145eb45e9a;28eb1a3f-1c15-4a95-931a-4af90ecb574d;US;DWC_ARCHIVE;2026-04-17T19:39:17.972+00:00;2026-04-18T10:18:34.699+00:00;589;PRESENT;8168319;5;34;186;1499;4171;6005964;8168319;8168319;Amanita;muscaria;ACCEPTED;2025-10-07T11:53:54;NA;EUROPE;10;7;280;280;2025-10-08T17:05:42.000+00:00;2026-04-18T10:18:34.699+00:00;https://www.inaturalist.org/observations/319344586;http://creativecommons.org/licenses/by-nc/4.0/legalcode;FALSE;319344586;none;none;FALSE;Thibault;Thibault;WGS84;none;none;EUROPE;Belgium;NORTH_AMERICA;Thibault;319344586;titiavi;2025-10-07;Oost-Vlaanderen, Vlaanderen, BE;5840326956;https://www.inaturalist.org/observations/319344586;48715;wild;319344586;NA;708941071;Amanita muscaria (L.) Lam.;NA;NA;NA;NA;NA;NA;NA;NA;NA
Amanita muscaria;5843969086;Amanita muscaria (L.) Lam.;Amanita muscaria (L.) Lam.;SPECIES;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita;Amanita muscaria;BE;Vlaanderen;51,346304;4,426932;2025-10-11T15:58:08;2025;HUMAN_OBSERVATION;iNaturalist;Observations;iNaturalist research-grade observations;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;28eb1a3f-1c15-4a95-931a-4af90ecb574d;997448a8-f762-11e1-a439-00145eb45e9a;28eb1a3f-1c15-4a95-931a-4af90ecb574d;US;DWC_ARCHIVE;2026-04-17T19:39:17.972+00:00;2026-04-18T09:55:10.018+00:00;589;PRESENT;8168319;5;34;186;1499;4171;6005964;8168319;8168319;Amanita;muscaria;ACCEPTED;2025-10-11T15:31:48;36;EUROPE;10;11;284;284;2025-10-30T15:50:49.000+00:00;2026-04-18T09:55:10.018+00:00;https://www.inaturalist.org/observations/320179185;http://creativecommons.org/licenses/by-nc/4.0/legalcode;FALSE;320179185;none;none;FALSE;Roald Santens;Roald Santens;WGS84;none;none;EUROPE;Belgium;NORTH_AMERICA;Roald Santens;320179185;roald_santens;2025-10-11 15:58:08;Oude Galgenstraat, Kapellen, Antwerp, BE;5843969086;https://www.inaturalist.org/observations/320179185;48715;wild;320179185;15:58:08+02:00;710763039;Amanita muscaria (L.) Lam.;NA;NA;NA;NA;NA;NA;NA;NA;NA
Amanita muscaria;5843988292;Amanita muscaria (L.) Lam.;Amanita muscaria (L.) Lam.;SPECIES;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita;Amanita muscaria;BE;Vlaanderen;51,323222;4,903750;2025-10-11T13:43:03;2025;HUMAN_OBSERVATION;iNaturalist;Observations;iNaturalist research-grade observations;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;28eb1a3f-1c15-4a95-931a-4af90ecb574d;997448a8-f762-11e1-a439-00145eb45e9a;28eb1a3f-1c15-4a95-931a-4af90ecb574d;US;DWC_ARCHIVE;2026-04-17T19:39:17.972+00:00;2026-04-18T09:55:08.778+00:00;589;PRESENT;8168319;5;34;186;1499;4171;6005964;8168319;8168319;Amanita;muscaria;ACCEPTED;2025-10-11T12:21:03;8;EUROPE;10;11;284;284;2025-10-30T15:52:01.000+00:00;2026-04-18T09:55:08.778+00:00;https://www.inaturalist.org/observations/320143211;http://creativecommons.org/licenses/by-nc/4.0/legalcode;FALSE;320143211;none;none;FALSE;Max Devis;Max Devis;WGS84;none;none;EUROPE;Belgium;NORTH_AMERICA;Max Devis;320143211;max_devis;2025-10-11 13:43:03+02:00;Oude Beersebaan, Turnhout, Antwerp, BE;5843988292;https://www.inaturalist.org/observations/320143211;48715;wild;320143211;13:43:03+02:00;710697599;Amanita muscaria (L.) Lam.;NA;NA;NA;NA;NA;NA;NA;NA;NA
Amanita muscaria;5844116332;Amanita muscaria (L.) Lam.;Amanita muscaria (L.) Lam.;SPECIES;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita;Amanita muscaria;BE;Vlaanderen;51,345990;4,426030;2025-10-11T16:58:03;2025;HUMAN_OBSERVATION;iNaturalist;Observations;iNaturalist research-grade observations;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;28eb1a3f-1c15-4a95-931a-4af90ecb574d;997448a8-f762-11e1-a439-00145eb45e9a;28eb1a3f-1c15-4a95-931a-4af90ecb574d;US;DWC_ARCHIVE;2026-04-17T19:39:17.972+00:00;2026-04-18T08:21:53.007+00:00;589;PRESENT;8168319;5;34;186;1499;4171;6005964;8168319;8168319;Amanita;muscaria;ACCEPTED;2025-10-11T16:21:38;17;EUROPE;10;11;284;284;2025-10-30T15:50:02.000+00:00;2026-04-18T08:21:53.007+00:00;https://www.inaturalist.org/observations/320189908;http://creativecommons.org/licenses/by-nc/4.0/legalcode;FALSE;320189908;none;none;FALSE;Roald Santens;Roald Santens;WGS84;none;none;EUROPE;Belgium;NORTH_AMERICA;Roald Santens;320189908;roald_santens;2025-10-11 16:58:03;Oude Galgenstraat, Kapellen, Antwerp, BE;5844116332;https://www.inaturalist.org/observations/320189908;48715;wild;320189908;16:58:03+02:00;710783392;Amanita muscaria (L.) Lam.;NA;NA;NA;NA;NA;NA;NA;NA;NA
Amanita muscaria;5844125673;Amanita muscaria (L.) Lam.;Amanita muscaria (L.) Lam.;SPECIES;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita;Amanita muscaria;BE;Vlaanderen;51,345275;4,436442;2025-10-11T16:37:42;2025;HUMAN_OBSERVATION;iNaturalist;Observations;iNaturalist research-grade observations;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;28eb1a3f-1c15-4a95-931a-4af90ecb574d;997448a8-f762-11e1-a439-00145eb45e9a;28eb1a3f-1c15-4a95-931a-4af90ecb574d;US;DWC_ARCHIVE;2026-04-17T19:39:17.972+00:00;2026-04-18T09:55:12.937+00:00;589;PRESENT;8168319;5;34;186;1499;4171;6005964;8168319;8168319;Amanita;muscaria;ACCEPTED;2025-10-11T16:14:42;17;EUROPE;10;11;284;284;2025-10-30T15:50:17.000+00:00;2026-04-18T09:55:12.937+00:00;https://www.inaturalist.org/observations/320188358;http://creativecommons.org/licenses/by-nc/4.0/legalcode;FALSE;320188358;none;none;FALSE;Roald Santens;Roald Santens;WGS84;none;none;EUROPE;Belgium;NORTH_AMERICA;Roald Santens;320188358;roald_santens;2025-10-11 16:37:42;Antwerpen, Vlaanderen, BE;5844125673;https://www.inaturalist.org/observations/320188358;48715;wild;320188358;16:37:42+02:00;710780554;Amanita muscaria (L.) Lam.;NA;NA;NA;NA;NA;NA;NA;NA;NA
Amanita muscaria;5844147332;Amanita muscaria (L.) Lam.;Amanita muscaria (L.) Lam.;SPECIES;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita;Amanita muscaria;BE;Vlaanderen;51,173439;5,535484;2025-10-10T12:41:24;2025;HUMAN_OBSERVATION;iNaturalist;Observations;iNaturalist research-grade observations;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;28eb1a3f-1c15-4a95-931a-4af90ecb574d;997448a8-f762-11e1-a439-00145eb45e9a;28eb1a3f-1c15-4a95-931a-4af90ecb574d;US;DWC_ARCHIVE;2026-04-17T19:39:17.972+00:00;2026-04-18T08:09:07.908+00:00;589;PRESENT;8168319;5;34;186;1499;4171;6005964;8168319;8168319;Amanita;muscaria;ACCEPTED;2025-10-10T15:36:14;NA;EUROPE;10;10;283;283;2025-10-13T21:29:22.000+00:00;2026-04-18T08:09:07.908+00:00;https://www.inaturalist.org/observations/319972316;http://creativecommons.org/licenses/by/4.0/legalcode;FALSE;319972316;none;none;FALSE;bart klaessens;bart klaessens;WGS84;none;none;EUROPE;Belgium;NORTH_AMERICA;bart klaessens;319972316;bart1980;2025-10-10 12:41:24;Bocholt, 3950 Bocholt, België;5844147332;https://www.inaturalist.org/observations/319972316;48715;wild;319972316;12:41:24+02:00;710339880;Amanita muscaria (L.) Lam.;NA;NA;NA;NA;NA;NA;NA;NA;NA
Amanita muscaria;5844239773;Amanita muscaria (L.) Lam.;Amanita muscaria (L.) Lam.;SPECIES;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita;Amanita muscaria;BE;Vlaanderen;51,151917;3,871075;2025-10-12T16:00:04;2025;HUMAN_OBSERVATION;iNaturalist;Observations;iNaturalist research-grade observations;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;28eb1a3f-1c15-4a95-931a-4af90ecb574d;997448a8-f762-11e1-a439-00145eb45e9a;28eb1a3f-1c15-4a95-931a-4af90ecb574d;US;DWC_ARCHIVE;2026-04-17T19:39:17.972+00:00;2026-04-18T08:09:33.549+00:00;589;PRESENT;8168319;5;34;186;1499;4171;6005964;8168319;8168319;Amanita;muscaria;ACCEPTED;2025-10-12T14:00:52;5;EUROPE;10;12;285;285;2025-10-13T09:23:55.000+00:00;2026-04-18T08:09:33.549+00:00;https://www.inaturalist.org/observations/320403106;http://creativecommons.org/licenses/by-nc/4.0/legalcode;FALSE;320403106;none;none;FALSE;neefke365;neefke365;WGS84;none;none;EUROPE;Belgium;NORTH_AMERICA;neefke365;320403106;neefke365;2025-10-12 16:00:04;Wachtebeke Domein Puyenbroeck P1, 9185 Lochristi, België;5844239773;https://www.inaturalist.org/observations/320403106;48715;wild;320403106;16:00:04+02:00;711209060;Amanita muscaria (L.) Lam.;NA;NA;NA;NA;NA;NA;NA;NA;NA
Amanita muscaria;5844243649;Amanita muscaria (L.) Lam.;Amanita muscaria (L.) Lam.;SPECIES;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita;Amanita muscaria;BE;Vlaanderen;50,823897;2,963987;2025-10-12T15:16:38;2025;HUMAN_OBSERVATION;iNaturalist;Observations;iNaturalist research-grade observations;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;28eb1a3f-1c15-4a95-931a-4af90ecb574d;997448a8-f762-11e1-a439-00145eb45e9a;28eb1a3f-1c15-4a95-931a-4af90ecb574d;US;DWC_ARCHIVE;2026-04-17T19:39:17.972+00:00;2026-04-18T11:14:01.521+00:00;589;PRESENT;8168319;5;34;186;1499;4171;6005964;8168319;8168319;Amanita;muscaria;ACCEPTED;2025-10-12T13:17:12;9;EUROPE;10;12;285;285;2026-02-03T14:53:54.000+00:00;2026-04-18T11:14:01.521+00:00;https://www.inaturalist.org/observations/320395590;http://creativecommons.org/licenses/by-nc/4.0/legalcode;FALSE;320395590;none;none;FALSE;pol maes;pol maes;WGS84;none;none;EUROPE;Belgium;NORTH_AMERICA;pol maes;320395590;polmaes;2025-10-12 15:16:38+02:00;Zandvoorde, Zonnebeke, West-Vlaanderen, BE;5844243649;https://www.inaturalist.org/observations/320395590;48715;wild;320395590;15:16:38+02:00;711192656;Amanita muscaria (L.) Lam.;NA;NA;NA;NA;NA;NA;NA;NA;NA
Amanita muscaria;5844243652;Amanita muscaria (L.) Lam.;Amanita muscaria (L.) Lam.;SPECIES;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita;Amanita muscaria;BE;Vlaanderen;51,152102;3,870810;2025-10-12T15:48:28;2025;HUMAN_OBSERVATION;iNaturalist;Observations;iNaturalist research-grade observations;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;28eb1a3f-1c15-4a95-931a-4af90ecb574d;997448a8-f762-11e1-a439-00145eb45e9a;28eb1a3f-1c15-4a95-931a-4af90ecb574d;US;DWC_ARCHIVE;2026-04-17T19:39:17.972+00:00;2026-04-18T08:09:06.739+00:00;589;PRESENT;8168319;5;34;186;1499;4171;6005964;8168319;8168319;Amanita;muscaria;ACCEPTED;2025-10-12T13:49:38;3;EUROPE;10;12;285;285;2025-10-13T09:24:03.000+00:00;2026-04-18T08:09:06.739+00:00;https://www.inaturalist.org/observations/320400999;http://creativecommons.org/licenses/by-nc/4.0/legalcode;FALSE;320400999;none;none;FALSE;neefke365;neefke365;WGS84;none;none;EUROPE;Belgium;NORTH_AMERICA;neefke365;320400999;neefke365;2025-10-12 15:48:28;Wachtebeke Domein Puyenbroeck P1, 9185 Lochristi, België;5844243652;https://www.inaturalist.org/observations/320400999;48715;wild;320400999;15:48:28+02:00;711204938;Amanita muscaria (L.) Lam.;NA;NA;NA;NA;NA;NA;NA;NA;NA
Amanita muscaria;5844258783;Amanita muscaria (L.) Lam.;Amanita muscaria (L.) Lam.;SPECIES;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita;Amanita muscaria;BE;Vlaanderen;51,173439;5,535484;2025-10-10T12:41:24;2025;HUMAN_OBSERVATION;iNaturalist;Observations;iNaturalist research-grade observations;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;28eb1a3f-1c15-4a95-931a-4af90ecb574d;997448a8-f762-11e1-a439-00145eb45e9a;28eb1a3f-1c15-4a95-931a-4af90ecb574d;US;DWC_ARCHIVE;2026-04-17T19:39:17.972+00:00;2026-04-18T08:21:50.720+00:00;589;PRESENT;8168319;5;34;186;1499;4171;6005964;8168319;8168319;Amanita;muscaria;ACCEPTED;2025-10-10T15:35:42;NA;EUROPE;10;10;283;283;2025-10-13T21:29:23.000+00:00;2026-04-18T08:21:50.720+00:00;https://www.inaturalist.org/observations/319972537;http://creativecommons.org/licenses/by/4.0/legalcode;FALSE;319972537;none;none;FALSE;bart klaessens;bart klaessens;WGS84;none;none;EUROPE;Belgium;NORTH_AMERICA;bart klaessens;319972537;bart1980;2025-10-10 12:41:24;Bocholt, 3950 Bocholt, België;5844258783;https://www.inaturalist.org/observations/319972537;48715;wild;319972537;12:41:24+02:00;710339705;Amanita muscaria (L.) Lam.;NA;NA;NA;NA;NA;NA;NA;NA;NA
Amanita muscaria;5844294110;Amanita muscaria (L.) Lam.;Amanita muscaria (L.) Lam.;SPECIES;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita;Amanita muscaria;BE;Vlaanderen;51,346667;4,428712;2025-10-11T16:02:47;2025;HUMAN_OBSERVATION;iNaturalist;Observations;iNaturalist research-grade observations;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;28eb1a3f-1c15-4a95-931a-4af90ecb574d;997448a8-f762-11e1-a439-00145eb45e9a;28eb1a3f-1c15-4a95-931a-4af90ecb574d;US;DWC_ARCHIVE;2026-04-17T19:39:17.972+00:00;2026-04-18T09:55:10.667+00:00;589;PRESENT;8168319;5;34;186;1499;4171;6005964;8168319;8168319;Amanita;muscaria;ACCEPTED;2025-10-11T15:33:53;8;EUROPE;10;11;284;284;2025-10-30T15:50:44.000+00:00;2026-04-18T09:55:10.667+00:00;https://www.inaturalist.org/observations/320179614;http://creativecommons.org/licenses/by-nc/4.0/legalcode;FALSE;320179614;none;none;FALSE;Roald Santens;Roald Santens;WGS84;none;none;EUROPE;Belgium;NORTH_AMERICA;Roald Santens;320179614;roald_santens;2025-10-11 16:02:47;Oude Galgenstraat, Kapellen, Antwerp, BE;5844294110;https://www.inaturalist.org/observations/320179614;48715;wild;320179614;16:02:47+02:00;710763853;Amanita muscaria (L.) Lam.;NA;NA;NA;NA;NA;NA;NA;NA;NA
Amanita muscaria;5844402239;Amanita muscaria (L.) Lam.;Amanita muscaria (L.) Lam.;SPECIES;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita;Amanita muscaria;BE;Vlaanderen;51,345274;4,436502;2025-10-11T16:38:02;2025;HUMAN_OBSERVATION;iNaturalist;Observations;iNaturalist research-grade observations;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;28eb1a3f-1c15-4a95-931a-4af90ecb574d;997448a8-f762-11e1-a439-00145eb45e9a;28eb1a3f-1c15-4a95-931a-4af90ecb574d;US;DWC_ARCHIVE;2026-04-17T19:39:17.972+00:00;2026-04-18T08:09:05.728+00:00;589;PRESENT;8168319;5;34;186;1499;4171;6005964;8168319;8168319;Amanita;muscaria;ACCEPTED;2025-10-11T16:14:59;17;EUROPE;10;11;284;284;2025-10-30T15:50:14.000+00:00;2026-04-18T08:09:05.728+00:00;https://www.inaturalist.org/observations/320188415;http://creativecommons.org/licenses/by-nc/4.0/legalcode;FALSE;320188415;none;none;FALSE;Roald Santens;Roald Santens;WGS84;none;none;EUROPE;Belgium;NORTH_AMERICA;Roald Santens;320188415;roald_santens;2025-10-11 16:38:02;Antwerpen, Vlaanderen, BE;5844402239;https://www.inaturalist.org/observations/320188415;48715;wild;320188415;16:38:02+02:00;710780667;Amanita muscaria (L.) Lam.;NA;NA;NA;NA;NA;NA;NA;NA;NA
Amanita muscaria;5844468138;Amanita muscaria (L.) Lam.;Amanita muscaria (L.) Lam.;SPECIES;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita;Amanita muscaria;BE;Vlaanderen;50,925825;5,380724;2025-10-09T16:11;2025;HUMAN_OBSERVATION;iNaturalist;Observations;iNaturalist research-grade observations;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;28eb1a3f-1c15-4a95-931a-4af90ecb574d;997448a8-f762-11e1-a439-00145eb45e9a;28eb1a3f-1c15-4a95-931a-4af90ecb574d;US;DWC_ARCHIVE;2026-04-17T19:39:17.972+00:00;2026-04-18T09:55:00.168+00:00;589;PRESENT;8168319;5;34;186;1499;4171;6005964;8168319;8168319;Amanita;muscaria;ACCEPTED;2025-10-09T21:53:33;4;EUROPE;10;9;282;282;2025-11-04T15:02:05.000+00:00;2026-04-18T09:55:00.168+00:00;https://www.inaturalist.org/observations/319844635;http://creativecommons.org/licenses/by-nc/4.0/legalcode;FALSE;319844635;none;none;FALSE;Frederik Lerouge;Frederik Lerouge;WGS84;none;none;EUROPE;Belgium;NORTH_AMERICA;Frederik Lerouge;319844635;frederikl;2025/10/09 16:11;Diepenbeek, 3590 Diepenbeek, België;5844468138;https://www.inaturalist.org/observations/319844635;48715;wild;319844635;16:11:00+02:00;710060417;Amanita muscaria (L.) Lam.;NA;NA;NA;NA;NA;NA;NA;NA;NA
Amanita muscaria;5844554997;Amanita muscaria (L.) Lam.;Amanita muscaria (L.) Lam.;SPECIES;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita;Amanita muscaria;BE;Vlaanderen;50,926986;5,380498;2025-10-09T15:56;2025;HUMAN_OBSERVATION;iNaturalist;Observations;iNaturalist research-grade observations;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;28eb1a3f-1c15-4a95-931a-4af90ecb574d;997448a8-f762-11e1-a439-00145eb45e9a;28eb1a3f-1c15-4a95-931a-4af90ecb574d;US;DWC_ARCHIVE;2026-04-17T19:39:17.972+00:00;2026-04-18T09:55:02.776+00:00;589;PRESENT;8168319;5;34;186;1499;4171;6005964;8168319;8168319;Amanita;muscaria;ACCEPTED;2025-10-09T21:53:33;8;EUROPE;10;9;282;282;2025-11-04T15:02:07.000+00:00;2026-04-18T09:55:02.776+00:00;https://www.inaturalist.org/observations/319844632;http://creativecommons.org/licenses/by-nc/4.0/legalcode;FALSE;319844632;none;none;FALSE;Frederik Lerouge;Frederik Lerouge;WGS84;none;none;EUROPE;Belgium;NORTH_AMERICA;Frederik Lerouge;319844632;frederikl;2025/10/09 15:56;Diepenbeek, 3590 Diepenbeek, België;5844554997;https://www.inaturalist.org/observations/319844632;48715;wild;319844632;15:56:00+02:00;710060413;Amanita muscaria (L.) Lam.;NA;NA;NA;NA;NA;NA;NA;NA;NA
Amanita muscaria;5844649311;Amanita muscaria (L.) Lam.;Amanita muscaria (L.) Lam.;SPECIES;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita;Amanita muscaria;BE;Vlaanderen;51,323247;4,903788;2025-10-11T13:42:07;2025;HUMAN_OBSERVATION;iNaturalist;Observations;iNaturalist research-grade observations;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;28eb1a3f-1c15-4a95-931a-4af90ecb574d;997448a8-f762-11e1-a439-00145eb45e9a;28eb1a3f-1c15-4a95-931a-4af90ecb574d;US;DWC_ARCHIVE;2026-04-17T19:39:17.972+00:00;2026-04-18T11:13:58.223+00:00;589;PRESENT;8168319;5;34;186;1499;4171;6005964;8168319;8168319;Amanita;muscaria;ACCEPTED;2025-10-11T12:21:30;3;EUROPE;10;11;284;284;2025-11-07T16:26:23.000+00:00;2026-04-18T11:13:58.223+00:00;https://www.inaturalist.org/observations/320143288;http://creativecommons.org/licenses/by-nc/4.0/legalcode;FALSE;320143288;none;none;FALSE;Max Devis;Max Devis;WGS84;none;none;EUROPE;Belgium;NORTH_AMERICA;Max Devis;320143288;max_devis;2025-10-11 13:42:07+02:00;Oude Beersebaan, Turnhout, Antwerp, BE;5844649311;https://www.inaturalist.org/observations/320143288;48715;wild;320143288;13:42:07+02:00;710697731;Amanita muscaria (L.) Lam.;NA;NA;NA;NA;NA;NA;NA;NA;NA
